tmp,TBR1_UP_4h,TBR1_UP_3h,TBR1_UP_2h,TBR1_UP_1h,TBR1_UP_45min,TBR1_UP_30min,TBR1_UP_25min
Acetomicrobium_sp_,0.0,0.0,0.0,0.0,0.005894186125510508,0.0069618587153051905,0.018115385098864796
Coprothermobacter_proteolyticus_,0.059101056691198015,0.079195504958196,0.06508747897231133,0.05919055445601787,0.016549284149240718,0.013379416706226865,0.013334893505630512
Aggregatilineales_sp_,0.002370026974635033,0.007679880546946663,0.005959869235182374,0.006070842706098098,0.005004301048063903,0.0007043539101211626,0.000577298848198834
Bacillota_G_sp_2,0.0,0.0,0.0,0.0,0.013410696795898526,0.021948838249577555,0.015245045964544148
Proteinivoracia_sp_,0.001919696292026991,0.004930923446941694,0.0068832825539413564,0.0076147966169039395,8.235039456951645e-05,0.00014974494702485783,0.0004314123439330583
Saccharicenans_sp_,0.0,0.0,0.0,0.0,0.012863030073550677,0.04274132591175124,0.11818395804029967
Acetivibrionales_sp_1,0.0014274759190871038,0.001252521487272768,0.0011687972355845881,0.007479154247663301,0.0,0.0,0.0
Bacteroidales_sp_,0.0,0.0,6.432343786318126e-06,0.0008272399730547719,0.012625908018539241,0.013244776842292541,0.012580107410550788
Limnochordales_sp_1,0.0,0.0,0.0,0.0,0.0,0.0023865271514595405,0.011300454996658193
Bacillota_G_sp_3,0.00016137444990352914,1.1330646425862779e-05,7.174314559763847e-06,0.002375086778858276,0.005705842911586205,0.00461433900457885,0.00660411099597541
Lutisporaceae_sp_,0.007607123235967441,0.00761172422107132,0.005964715224006009,0.022542929733915557,0.0017518081522686722,0.0014600658025258387,0.005863648339392932
Mycobacterium_sp_1,0.00232518672197975,0.006614679472883902,0.0029374145736320656,0.0018022412190870933,0.001074183741209025,0.0016253344991074543,0.002102790961706747
Bacillota_E_sp_4,0.014347508658682562,0.01154798428387126,0.00935327347316088,0.019990230034206264,0.0019233696090880806,0.0002382784623409007,0.009910712568935885
Caldanaerobacter_subterraneus_,0.006254229123317715,0.004631640128846156,0.004173408165001187,0.015794937286117475,0.0005165368526490456,0.000375710654777674,0.0010056270108720366
Anaerolinea_thermophila_,0.00012049089635131562,1.3545764140547355e-05,9.908048957190943e-06,6.961647439194517e-05,0.015753094646794433,0.027921644454135534,0.0037002168751845313
Pseudothermotoga_B_sp_,6.615439777981178e-05,0.0,5.033401667927301e-06,4.404739356706729e-06,0.0537880672998571,0.18180563415040063,0.06054193544173213
Kapabacteriales_sp_,0.002127273576619598,0.0013534415869688701,0.0010816968097773938,0.015562296625919878,0.005905153826605793,0.007341660519966232,0.0025567915978919405
Sphaerobacter_thermophilus_,0.0010100772370523145,0.007472833893393417,0.0056698645658883,0.002140625828112193,0.0027510361186753062,0.0,0.0003050526145507791
Methanothermobacter_wolfei_,0.005682234310299125,0.039754414673985966,0.04971560064695085,0.037059888337869384,0.009836494121286577,0.01140897321013727,0.005683240901387199
Tepidiphilus_sp_,0.0005064768133357317,0.0008637067916048215,0.000488411629522339,0.0002238556890164861,0.005550832714485999,0.0014658622447434413,0.0016016556135918434
Tepidiphilus_succinatimandens_,0.0,0.0,0.0,0.0,0.005768185021471259,0.0012171918824738237,0.002863146303504921
Methanothermobacter_marburgensis_1,0.4625238746934789,0.3743594168241981,0.5826127731090456,0.3911669381719118,0.4934105725866381,0.30274762300546515,0.1459031394845772
Bellilinea_sp_,9.588753025942258e-05,1.0755087440391104e-05,0.0,1.816481325910124e-05,0.0019472137208652188,0.005270663908379703,0.0014777943197875514
Methanothermobacter_thermautotrophicus_,0.4323538524780257,0.45269569618581235,0.2588748656970246,0.4100661962682397,0.3278878520711462,0.3509901757672084,0.5601115807622289
